Id,Label,name,ave_view,ave_comment,ave_mylist,ave_starttime,end,ave_length,Points,training,modify_probability,Time Interval,Modularity Class
183,183,CoD4,1963.0,116.0,33.0,2010/11/22 0:00,2015/10/20 0:00,918.0,2567.628788,0,0.655219068,"<[1.2903516E12, 1.4452668E12]>",18
3393,3393,グラヂ?ウスリバ?ス,14085.0,525.0,127.0,2010/11/23 0:00,2015/10/20 0:00,1091.0,16496.29708,0,0.943063733,"<[1.290438E12, 1.4452668E12]>",18
1183,1183,Wiiウェア,14085.0,525.0,127.0,2010/11/23 0:00,2015/10/20 0:00,1091.0,16496.29708,0,0.943063733,"<[1.290438E12, 1.4452668E12]>",18
5140,5140,め?くりグラヂ?ウス,14085.0,525.0,127.0,2010/11/23 0:00,2015/10/20 0:00,1091.0,16496.29708,0,0.943063733,"<[1.290438E12, 1.4452668E12]>",18
668,668,グラヂ?ウス,7685.0,278.0,64.0,2011/7/15 0:00,2015/10/20 0:00,671.5,8913.371995,0,0.332241708,"<[1.3106556E12, 1.4452668E12]>",18
2048,2048,さらにヂ?スプレイを倒す事を推奨,11671.0,439.0,128.0,2012/1/2 0:00,2015/10/20 0:00,518.0,14014.25225,0,0.069761173,"<[1.32543E12, 1.4452668E12]>",15
5310,5310,東方?E??農,2573.0,91.0,6.0,2010/6/6 0:00,2015/10/20 0:00,321.0,2750.898502,0,0.227338735,"<[1.27575E12, 1.4452668E12]>",15
1455,1455,アストロノ?カ,2573.0,91.0,6.0,2010/6/6 0:00,2015/10/20 0:00,321.0,2750.898502,0,0.227338735,"<[1.27575E12, 1.4452668E12]>",15
2218,2218,アストロノ?カリン,2573.0,91.0,6.0,2010/6/6 0:00,2015/10/20 0:00,321.0,2750.898502,0,0.227338735,"<[1.27575E12, 1.4452668E12]>",15
520,520,KYM,2573.0,91.0,6.0,2010/6/6 0:00,2015/10/20 0:00,321.0,2750.898502,0,0.227338735,"<[1.27575E12, 1.4452668E12]>",15
2920,2920,アイレ?_,237638.0,5903.0,1620.0,2012/1/7 0:00,2015/10/20 0:00,1160.0,267698.8672,1,0.0,"<[1.325862E12, 1.4452668E12]>",7
